TechnologyPLC3_5.24.2
56;20;"Open file '%1' failed (%2, mode %3, system error id %4)"
56;21;"Writing to file '%1' failed (%2, system error id %3)"
56;22;"Reading from file '%1' failed (%2, system error id %3)"
56;23;"Closing file  '%1' failed (%2, system error id %3)"
56;24;"%1': unexpected end of file (%2, %3, %4)"
56;25;"%1': invalid file format (%2, %3, %4)"
56;28;"%1': invalid or no CRC checksum (%2, %3, %4)"
56;70;"Mapping PCall (%1) failed"
56;71;"Calling PCall (%1 (%2)) failed (%3, %4)"
56;72;"PCall '%1 (%2)' failed (%3, %4)"
56;74;"Functionblock '%1' can not be created during runtime. "
56;75;"'%1': Allocation of memory failed ('%2', '%3')."
56;76;"Invalid pointer to memory object: '%1'"
56;77;"Size of memory object ('%1': %3) differs from expected size (%2)"
56;78;"Unable to map to memory object: '%1'"
56;81;"'%1': Allocated memory could not be freed ('%2', '%3', '%4')."
56;90;"RunTime Exception: %1 (%2)"
56;91;"System Exception: %1 (%2)"
56;92;"Internal error: %1, %2, %3, %4"
56;1000;"'%1': invalid parameter %2 (%3) %4"
56;1002;"%1': invalid dynamic %2 (%3, %4)"
56;1020;"'%1': Stop Category 2 not supported. Performing Stop Category 1."
56;1051;"FB can not be executed due to active operating mode."
56;1052;"'%1': AXIS_REF is invalid ('%2')."
56;1103;"%1: Drive entered state 'Not Ready To Switch On'"
56;1105;"%1: Drive is not ready to be enabled"
56;1106;"%1: drive lost reference"
56;1110;"%1': hardware limit switch ('%2', %3)"
56;1111;"'%1': software position limit (%2) exceeded (%3)"
56;1112;"%1': Lag error (set position: %2, actual position: %3, max lag: %4)"
56;1113;"'%1': Maximum position (%4) of a finite axis exceeded. Consider usage of a modulo axis. (%2, %3)"
56;1120;"%1': homing aborted by drive ('%2')"
56;1121;"%1': time out homing (%2)"
56;1140;"'%1': no Function Block has been called in the last PLC cycle (PLCopen State: '%2')."
56;1142;"%1': recevied incomplete set values in the last PLC cycle (%2, expected: %3)."
56;1210;"%1': invalid homing method (%2)"
56;1211;"%1': invalid homing position (%2)"
56;1212;"%1': invalid homing speed searching switch (%2)"
56;1213;"%1': invalid homing speed searching zero pulse (%2)"
56;1214;"%1': invalid homing acceleration (%2)"
56;1216;"%1': invalid torque for homing sequence (%2)"
56;1217;"%1': invalid timeout for homing sequence (%2)"
56;1231;"%1: Timeout during brake check (%2)"
56;1232;"%1: Brake check failed"
56;1401;"Object '%1' not initialized yet ('%2')."
56;1410;"%1': configuration parameter '%2' couldn't be read (%3)"
56;1411;"%1': configuration parameter '%2' is invalid (%3, %4)"
56;1425;"%1': Mapping to process data (%2) failed"
56;1426;"%1': Mapping to prrocess data (%2) failed due to invalid type (%3)"
56;1427;"%1: Mapping to process data ('%2') failed because of invalid length (%3, %4)"
56;1550;"Cam Table '%1' is invalid: %2, %3 (%4)"
56;2000;"%1: Reading SDO (Index %2, Subindex %3) failed (%4)"
56;2001;"%1: Writing SDO (Index %2, Subindex %3) failed (%4)"
56;2012;"%1': timeout writing mode of operation (%2, %3, %4)"
56;2020;"%1': invalid status word (%2)"
56;2066;"'%1': Command 'Exit parameterization level ' failed."
56;2300;"%1: Drive is not controlable by PLC (%2)"
56;2301;"%1: Set values from PLC are ignored by drive (%2)."
56;2310;"%1': minimum software position limit of drive (%3 (%4)) is more restrictive than in PLC (%2)"
56;2311;"%1': maximum software position limit of drive (%3 (%4)) is more restrictive than in PLC (%2)"
56;2320;"%1: Error initializing drive (%2, %3)"
56;2321;"%1: Error saving parameter of drive  (%2, %3)"
56;2500;"%1: Drive parameter have changed => Reset Drive!"
56;3000;"Interface version not supported by K_RC.library (RC-Version: %3, PLC-Version: %2)."
56;3001;"PLC-Interface version mismatch (RC-Version: %3, PLC-Version: %2)."
56;3005;"Unable to map to shared memory: '%1'"
56;3006;"Pointer to shared memory is null: '%1'"
56;3007;"Size of shared memory ('%1': %3) differs from expected size (%2)"
56;3010;"TeachControl is not running (actual state: '%1')!"
56;3011;"TeachControl system project is not ready - likely due to compiling errors!"
56;3012;"TeachControl system project is not operational!"
56;3013;"Not all axes of robot '%1' are simulated. "
56;3015;"'%1': Configuration parameter '%2' couldn't be read (%3)"
56;3900;"'%1': Diagnostic message '%2'"
56;4350;"No valid robot assignment for %1. Set robot via 'REF='."
56;5010;"'%1': Feed Belt %2 Error (%3)."
56;5011;"'%1': Sensor of Feed Belt %2 Error (%3)."
56;5015;"'%1': Target Belt %2 Error (%3)."
56;5016;"'%1': Sensor of Target Belt %2 Error (%3)."
56;5020;"'%1': Correction Belt %2 Error (%3)."
56;5021;"'%1': Sensor of Correction Belt %2 Error (%3)."
56;5030;"'%1': Command Power Disable on Belt '%2 ' failed ('%3')."
56;5031;"'%1': Command Power Enable on Belt '%2 ' failed ('%3')."
56;5032;"'%1': Command ResetError on Belt '%2' failed (%3)."
56;5033;"'%1': Command Stop on Belt '%2' failed (%3)."
56;5055;"'%1': Touch Probe error ('%2')"
56;5100;"'%1': Product jam upstream of Belt %2 (%3)."
56;5101;"'%1': Product jam downstream '%2' (%3)."
56;5105;"'%1': Unexpected product '%2' (%3)."
56;5106;"'%1': Unexpected (queued) product '%2' (%3)."
56;5110;"'%1': Product exceeded the maximum allowed slippage (%2, %3)"
56;5140;"'%1': Maximum number of products (%2) have been exceeded ('%3')."
56;5150;"'%1': Maximum number of targets ('%2') exceeded."
56;5250;"'%1': Movement command on Belt '%2' failed ('%3', '%4')."
56;5300;"'%1': Jogging (%2, %3, %4)"
56;5301;"'%1': Jogging movement aborted by external command (%2, %3)"
56;5350;"'%1': (%2, %3, %4)"
56;5450;"'%1': Axis ('%2') of belt is not a modulo axis."
56;5452;"'%1': A mandatory interface ('%2') is missing."
56;5455;"'%1': The initialization sequence is not correct. ('%2')"
56;5500;"'%1': Invalid ID '%2': %3 ('%4')"
56;5507;"'%1': Message type doesn't match: '%2', '%3'"
56;5510;"'%1': Disconnected ('%2')"
56;5511;"'%1': Connection Error ('%2')"
56;5512;"'%1': Timeout HLC response ('%2', '%3')"
56;5517;"'%1': Timeout ('%2', '%3', '%4')"
56;5520;"'%1': Unknown Message Type '%2' ('%3', '%4')"
56;5522;"'%1': Command '%2' has been rejected. Command state:'%3' ('%4')"
56;5523;"'%1': Command '%2' failed. Command state:'%3' ('%4')"
56;5525;"'%1': HLC error ('%2')"
56;5526;"'%1': Error Node Controller '%2' ('%3', '%4')"
56;5527;"'%1': Error Node '%2' ('%3', '%4')"
56;5528;"'%1': Error Path '%2' ('%3', '%4')"
56;5529;"'%1': Communication Link Error Path '%2' ('%3')"
56;6001;"Maximum number of NC axes ('%1') exceeded."
56;6002;"Maximum number of NC channels ('%1') exceeded."
56;6003;"Maximum number of NC axis per NC channel ('%1') exceeded."
56;6005;"NC axis ('%1') updated in different task ('%2', '%3')."
56;6035;"'%1': lost control of axis ('%2', '%3')"
56;6036;"'%1': could not (re-)gain control ('%2', '%3')"
